"Time","CO2_ppm","Temperature_C","Soil_ID"
15,451.6,16.52,1
30,463.6,16.52,1
45,476.8,16.6,1
60,490.6,16.63,1
75,507.5,16.66,1
90,519.6,16.66,1
105,536.1,16.75,1
120,550.4,16.72,1
135,568.3,16.72,1
150,579,16.8,1
165,595.7,16.83,1
180,606.5,16.83,1
195,616.1,16.91,1
15,458.3,16.97,2
30,468.8,17.05,2
45,486.8,17.03,2
60,505.6,17.11,2
75,525.4,17.11,2
90,541.6,17.11,2
105,561.2,17.14,2
120,574.3,17.17,2
135,592.4,17.19,2
150,603.2,17.22,2
165,620.6,17.25,2
180,629.2,17.25,2
195,646.3,17.25,2
15,461.1,17.39,3
30,467.6,17.39,3
45,479.1,17.39,3
60,488.2,17.39,3
75,500.9,17.42,3
90,511.5,17.42,3
105,521.2,17.45,3
120,534.9,17.45,3
135,543.7,17.53,3
150,550.5,17.53,3
165,560.9,17.53,3
180,571.2,17.53,3
195,578.8,17.53,3
15,455.1,17.53,4
30,457.7,17.53,4
45,468.9,17.53,4
60,477.7,17.53,4
75,490.2,17.56,4
90,500,17.53,4
105,511.4,17.53,4
120,521.5,17.59,4
135,530.4,17.56,4
150,532.9,17.64,4
165,535.2,17.62,4
180,535.5,17.64,4
195,535.7,17.62,4
15,459.4,17.62,5
30,468.6,17.62,5
45,481.9,17.56,5
60,494.2,17.62,5
75,507.4,17.62,5
90,518,17.64,5
105,531.6,17.67,5
120,541.2,17.67,5
135,551.1,17.64,5
150,559.6,17.64,5
165,570.2,17.67,5
180,578.5,17.64,5
195,585.6,17.67,5
